Bond_XY_1	Bond_XY_2
1	-1
19655.15	4815.70000000019
19541.8567201338	5189.71727279535
16899.775	6801.10499999975
16259.102	6851.74599999972
15618.429	6902.38699999969
14977.756	6953.02799999965
14337.083	7003.66899999962
13696.41	7054.30999999959
13070.015625	7031.16562499962
12443.62125	7008.02124999964
11817.226875	6984.87687499967
11190.8325	6961.73249999969
10564.438125	6938.58812499972
9938.04375000001	6915.44374999974
9311.64937500001	6892.29937499977
8685.255	6869.1549999998
8058.860625	6846.01062499982
7432.46625	6822.86624999985
6806.07187499999	6799.72187499987
6179.67749999999	6776.5774999999
5553.28312499999	6753.43312499992
4926.88874999998	6730.28874999995
4300.49437499998	6707.14437499997
3674.09999999998	6684
3340.09090909089	6157.00909090906
3006.0818181818	5630.01818181811
2672.07272727271	5103.02727272717
2338.06363636362	4576.03636363623
2004.05454545453	4049.04545454529
1670.04545454544	3522.05454545434
1336.03636363636	2995.0636363634
1002.02727272727	2468.07272727246
668.018181818177	1941.08181818151
334.009090909089	1414.09090909057
0	887.099999999627
579.214285714286	760.371428571109
1158.42857142857	633.642857142591
1737.64285714286	506.914285714073
2316.85714285714	380.185714285555
2896.07142857143	253.457142857036
3475.28571428571	126.728571428518
4054.5	0
4697.11428571429	67.8571428571428
5339.72857142858	135.714285714286
5982.34285714288	203.571428571429
6624.95714285717	271.428571428571
7267.57142857146	339.285714285714
7910.18571428575	407.142857142857
8552.80000000005	475
9139.88000000004	645.097333333331
9726.96000000004	815.194666666662
10314.04	985.291999999993
10901.12	1155.38933333332
11488.2	1325.48666666665
12075.28	1495.58399999999
12662.36	1665.68133333332
13249.44	1835.77866666665
13836.52	2005.87599999998
14423.6	2175.97333333331
15010.68	2346.07066666664
19780.533410515	2611.59176184308
19698.9639946007	3580.69052813742
19655.15	4815.70000000019
2	-1
3635.99800000002	5805.97800000012
3238.87520790713	5114.18807463247
2955.95812592193	4621.0504000274
1794.5	2845.90000000037
2216.1501997509	935.385458295895
2316.85714285714	380.185714285555
2896.07142857143	253.457142857036
9139.88000000004	645.097333333331
9726.96000000004	815.194666666662
10314.04	985.291999999993
10901.12	1155.38933333332
12075.28	1495.58399999999
12662.36	1665.68133333332
13836.52	2005.87599999998
20695.7333333333	1663.28666666678
21251.8555555555	1436.09111111125
21807.9777777778	1208.89555555572
22364.1	981.700000000186
22908.92	1330.20000000019
23453.74	1678.70000000019
23998.56	2027.20000000019
24543.3800000001	2375.70000000019
25088.2000000001	2724.20000000019
25325.1450000001	3277.08166666686
25562.09	3829.96333333353
25799.035	4382.8450000002
26035.98	4935.72666666688
26272.925	5488.60833333355
26509.87	6041.49000000022
25869.197	6092.13100000019
25228.524	6142.77200000016
24587.851	6193.41300000013
23947.178	6244.0540000001
23306.505	6294.69500000007
22665.832	6345.33600000003
22025.159	6395.977
21384.486	6446.61799999997
20743.813	6497.25899999994
20103.14	6547.89999999991
19462.467	6598.54099999988
18821.794	6649.18199999984
18181.121	6699.82299999981
17540.448	6750.46399999978
16259.102	6851.74599999972
14337.083	7003.66899999962
13696.41	7054.30999999959
13070.015625	7031.16562499962
12443.62125	7008.02124999964
10212.9	6098.5
7399.18787907386	5769.03583602747
3635.99800000002	5805.97800000012
3	-1
16658.9	5788.5
13696.41	7054.30999999959
13070.015625	7031.16562499962
8110.45000000007	5767.87000000011
7399.18787907386	5769.03583602747
3635.99800000002	5805.97800000012
3238.87520790713	5114.18807463247
2955.95812592193	4621.0504000274
2216.1501997509	935.385458295895
2316.85714285714	380.185714285555
2896.07142857143	253.457142857036
10540.9	3381.5
10576.61	3380.98000000045
10669.9	3380.5
12485.86	3387.15000000037
15084.9	4102.5
15486.9	4203.5
17468.9	5315.5
17286.9	5485.5
16658.9	5788.5
