H_1	H_2	H_3
47.4	44.6	18.2
47.32	12.58	3.64
43.1	16.9	0
24.1	29.7	0
38.6	0.8	0
40.7	0	0
29	23.5	0
43.18333	6.383333	0
45.9	5.25	0
46.8	1.3	0
42.4	0	0
40.12	0	0
42.4	0	0
42.5	0	0
40.5	0	0
39.3	0	0
33.78	3.5	0
32	0	0
45.4	17.5	0
38.42	0	0
29.5	0	0
37.7	20.8	0
23.2	0	0
52.4	0	0
0	37.1	0
16.4	16.9	0
42.2	11	0
60.7	0	0
17.7	43.3	0
71.8	0	0
42.6	22	0
33.5	32.28397	0
32.45	14.01667	0
25.4	45.8	0
15.8	21.1	0
35.1	0	0
37.75	4.875	0
51.1	0	0
44.5	0	0
29	0	0
19	19.5	0
35.6	0	0
26	6.8	0
0	4.4	0
0	14.3	0
0	7.5	0
0	10.5	0
0	21.28	0
0	45.6	0
0	10.3	0
1.475	13.625	0
0	14.9	0
1.966667	16.46667	0
4.266667	28.7	0
0	22.1	0
0	28.36667	0
0	22.525	0
12.8	14.2	0
29.8	6.2	0
26.6	12.33673	0
33.475	14.4	0
21.7	18.4	0
26.7	24.2	0
43	18.8	0
33.2	13.4	0
26.8	10.8	0
26.7	6.9	0
19	4.9	0
20.4	28.4	0
15.4	9.8	0
7	36.3	0
14.2	15.9	0
0	33.8	0
28.24665	36.5	0
21.82857	22.01429	0
0	35.6	0
5.2	49.3	0
6.2	40	0
14.8	34.4	0
33.3	16.5	0
45.8	0	0
25.9	17.3	0
19.7	25.6	0
36.8	26	0
16.6	20.28879	0
28.225	14.25	0
16.5	12.2	0
31.21667	16.16667	0
23	35	0
15.6	23.5	0
6.7	47.5	0
4.4	55.4	0
0	32.7	0
0	17.8	0
0	25.55	0
0	48.7	0
0	33.1	0
0	15.1	0
0	28	0
0	48.8	1
12.775	29.1875	0.125
0	34.5	0
0	35.7	0
0	30.4	0
2.2	42.2	0
0	48.7	0
3.8	38.4	0
0	35	0
0	13.3	0
16.9	15.8	0
20.4	17.8	0
16.575	22.475	1.2
14.9	11.8	0
8.046667	26.53555	0.1066667
0	26.7	0
0	35.8	0
0	24.02	0
0	33.5	0
0	21.8	0
0	19	0
0	31.7	0
0	25.1	0
11	38.2	0
7.44	39.06	0.38
13.6	32.7	0
22.7	0	0
18.18889	13.17778	0
18.9	0	0
13.5	74.4	0
16.4	17.5	0
10.475	31.775	3.95
15.01667	18.98333	0
0	64.6	0
10.8	47.6	0
6.78	34	2.92
11.74	23.2	0.96
0	23.5	0
16.3	0	0
0	35.4	0
19.9	0	0
12.06667	7.833333	0
6.633333	13.33333	0
6.633333	14.7	0
5.433333	6.666667	0
0	21.4	0
0	18.6	0
0	1.4	0
0	22.2	0
0	23.9	0
