Hk_1	Hk_2	Hk_3
36	26.4	7
36.46	8.58	1.4
28.5	14.9	0
21.9	28.8	0
29.8	1.2	0
32	0	0
27.3	12.5	0
37.26667	5.7	0
37.55	3.316667	0
38.6	1.3	0
37.5	0	0
32.26	0	0
34.1	0	0
39.7	0	0
37.6	0	0
29	0	0
27.12	2.94	0
23	0	0
33.7	14.7	0
32.56	0	0
22.4	0	0
27.8	17.9	0
7.3	0	0
41.2	0	0
0	33.4	0
12.5	16	0
31.8	11	0
32.8	0	0
23.5	39.6	0
65.6	0	0
36.9	21	0
28.9	1.3	0
22.38333	11.65	0
14.2	36	0
12.8	21.1	0
32.1	0	0
33.2	4.3	0
42.9	0	0
40.5	0	0
35.6	0	0
19	17.2	0
35	0	0
19.5	2.6	0
0	4.4	0
0	10.48	0
0	7.5	0
0	10.5	0
0	16.64	0
0	17.8	0
0	17.7	0
1	17.9	0
0	14.9	0
1.333333	18.93333	0
4.066667	22.96667	0
0	22.1	0
0	27.16667	0
0	15.575	0
7.8	13.2	0
27.1	6.2	0
18.8	4	0
30.95	13.475	0
18.3	17.5	0
19	20.9	0
23.3	15.4	0
25.4	13.4	0
19.6	10.7	0
19.4	6.9	0
15.5	18.4	0
11.5	25.7	0
10.4	9.8	0
3.8	36.3	0
14.4	15.9	0
0	32.1	0
0.9	36.5	0
15.95714	20.17143	0
0	35.6	0
3.4	45.7	0
5.8	33.2	0
2.5	28.8	0
30.4	15.2	0
35.9	0	0
23.4	16.7	0
20.4	16.9	0
29.5	17.3	0
23.7	4.8	0
24.75	12.425	0
22.5	12.2	0
23.95	14.35	0
16.8	21.5	0
11	21.7	0
5.6	24.5	0
4.4	42.7	0
0	32.7	0
0	17.8	0
0	20.6	0
0	44.4	0
0	33.1	0
0	14.7	0
0	27.4	0
0	41.7	1
9.7625	23.3625	0.125
0	31.5	0
0	19.9	0
0	5.4	0
2.2	33.5	0
0	35.7	0
3.8	34.2	0
0	35	0
0	13	0
14.3	15.8	0
18	17.3	0
13.55	17.575	0.5
9.4	11.4	0
6.622222	19.58889	0.04444445
0	20.3	0
0	23.6	0
0	16.84	0
0	26.3	0
0	21.8	0
0	19.3	0
0	31.7	0
0	24.3	0
10.1	24.1	0
5.34	26.2	0.38
11	21.3	0
21.6	0	0
12.04444	10.18889	0
13.9	0	0
7.7	24.7	0
13.7	17	0
8.25	23.5	2.65
12.25	14.75	0
0	42.3	0
6.6	25.7	0
4.32	22.74	1.88
8.44	14.92	0.4
0	22.2	0
10.6	0	0
0	27.7	0
19.9	0	0
10.16667	7.4	0
6.633333	12.4	0
6.633333	13.76667	0
3.533333	9.9	0
0	18.6	0
0	18.6	0
0	11.1	0
0	12.6	0
0	16.65	0
4	24.2	0
0	4.1	0
0	17.3	0
0	20.88	0
21.40148	19.38	0
0	12.35429	0
0	15.1	0
0	29.5	0
0	20.825	0
0	26.85	0
0	24.2	0
0	31.1	0
0	35.2	0
14.40087	11.26667	0
0	26.1	0
0	15.8	0
0	26.5	0
0	17.43333	0
0	23.39667	0
0	24.5	0
0	4.2	0
0	14.6	0
0	31.9	1.2
0	29.85	0.3
0	27.25	0.3
0	21.9	0
0	15.41667	0
0	31.1	0
30.2	0	0
0	31.5	0
0	32.9	0
0	22.7	0
4.975	19.45	0
0	28.875	0
0	25.425	0
3.1	28.9	1.9
6.1	23.7	3.5
9.2	21.8	1.175
7.575	24.5	1.35
6	25.2	1.2
5.1	31.6	7.4
2.11	30.22	1.546667
1.7	36.2	0
0	38.1	0
7.249014	21.65	0
0.95	18.125	0
1.66	25.54	0
0	8.2	0
34.6	0	0
31.8	2.5	0
