K_1	K_2	K_3
200.216	204.5966	598.2632
403.4439	329.4266	606.6339
706.7098	326.887	0
371.6667	251.4444	0
541.3221	165.6667	0
529.5729	0	0
435.7949	1694.024	0
802.7666	289.9646	0
532.365	1035.034	0
1804.508	777	0
479.5271	0	0
453.3558	0	0
551.3326	0	0
1214.023	0	0
637.1037	0	0
1294.066	0	0
4194.422	281.3091	0
692.1304	0	0
68.12463	100.1156	0
715.1326	0	0
2375.73	0	0
369.3381	166.1117	0
728.2972	0	0
2335.864	0	0
0	245.5509	0
828.24	259.6563	0
1186.553	718.2097	0
407.3711	0	0
1220.604	1697.568	0
1498.346	0	0
159.2981	140.7257	0
746.0724	254.7213	0
657.3917	216.9964	0
1087.218	244.5305	0
1706.955	203.4949	0
2687.072	0	0
2668.841	213.6906	0
2580.436	0	0
2516.106	0	0
105.3708	0	0
1977.569	236.5578	0
803.4886	0	0
1626.851	1370.769	0
0	4706.083	0
0	5811.2	0
0	4372.68	0
0	1144.985	0
0	205.2163	0
0	5028.894	0
0	1628.853	0
154.8806	917.8783	0
0	3273.283	0
149.0266	2794.742	0
165.6339	719.6509	0
0	1264.968	0
0	1968.226	0
0	2635.72	0
1224.929	742.3779	0
1154.127	741.7611	0
470.2393	601.804	0
990.2034	667.4423	0
647.804	384.7525	0
599.7921	152.811	0
1855.24	909.4415	0
333.3063	252.0526	0
200.9082	91.93458	0
501.5876	323.3333	0
201.529	382.2554	0
484.216	202.4033	0
205.5096	274	0
785.1097	480.4285	0
860	268.1887	0
0	743.377	0
1252.424	403.9726	0
869.8304	273.6838	0
0	832.6163	0
75.52941	880.0963	0
248.9617	545.0434	0
37.8	687.6805	0
947.2717	1213.446	0
1668.944	0	0
994.4896	928.37	0
124.598	50.57396	0
1286.368	993.1525	0
191.8692	769.2519	0
824.3541	857.7655	0
734.7422	864	0
1052.147	922.5548	0
376.4038	394.7835	0
278.8364	534.6498	0
65.48163	142.7948	0
271.7182	280.823	0
0	488.2079	0
0	482.0955	0
0	383.3064	0
0	628.3591	0
0	268.4441	0
0	584.1224	0
0	574.6825	0
0	962.0955	203
650.093	1820.541	203
0	543.3397	0
0	52.9988	0
0	50.57396	0
83.51933	1599.041	0
