Mp_1	Mp_2	Mp_3
0.3423889	0.3385606	0.34
0.3377728	0.3407636	0.3417893
0.3542105	0.3334899	0
0.3288584	0.3190972	0
0.3264497	0.112	0
0.33025	0	0
0.3191209	0.35256	0
0.4177885	0.3116165	0
0.3302591	0.3283287	0
0.3196373	0.31	0
0.3374667	0	0
0.3337064	0	0
0.3284164	0	0
0.3421662	0	0
0.328883	0	0
0.3077931	0	0
0.393477	0.3006027	0
0.3384783	0	0
0.291276	0.3030612	0
0.3636293	0	0
0.3244196	0	0
0.3196763	0.299162	0
0.3294521	0	0
0.3596359	0	0
0	0.3020958	0
0.32072	0.317	0
0.3300943	0.32	0
0.3027205	0	0
0.3401702	0.3507828	0
0.3986738	0	0
0.3102981	0.3093809	0
0.329481	0.309858	0
0.2969828	0.3025362	0
0.3321831	0.3021389	0
0.3384375	0.3557346	0
0.358972	0	0
0.3588987	0.3419455	0
0.3431236	0	0
0.3512099	0	0
0.2964607	0	0
0.35	0.3482558	0
0.3139143	0	0
0.3373333	0.2769231	0
0	0.36	0
0	0.4374075	0
0	0.36	0
0	0.37	0
0	0.3292381	0
0	0.3729015	0
0	0.3135593	0
0.2719711	0.3622922	0
0	0.3134899	0
0.2709952	0.3635729	0
0.2707529	0.3232655	0
0	0.3541177	0
0	0.337956	0
0	0.3391257	0
0.3612821	0.3619697	0
0.3381919	0.33	0
0.3253191	0.3352968	0
0.3420717	0.3435097	0
0.3471038	0.34	0
0.3307711	0.3062627	0
0.3358369	0.3426623	0
0.3527953	0.34	0
0.3121939	0.2831776	0
0.3236082	0.33	0
0.2829032	0.2421196	0
0.3629565	0.3670428	0
0.31	0.32	0
0.35	0.3460606	0
0.3179167	0.32	0
0	0.3386916	0
0.3534701	0.33	0
0.3436911	0.3275049	0
0	0.3451966	0
0.2188235	0.3293654	0
0.35	0.338494	0
0.2204	0.3390278	0
0.3447697	0.34	0
0.3424791	0	0
0.3164102	0.3451481	0
0.2878431	0.2677515	0
0.3725763	0.3749711	0
0.3045148	0.343193	0
0.3291143	0.3515827	0
0.3046222	0.34	0
0.3581237	0.3615709	0
0.3505357	0.3503256	0
0.2923636	0.3319816	0
0.2838261	0.305048	0
0.36	0.3593443	0
0	0.3313761	0
0	0.3297753	0
0	0.331767	0
0	0.3480406	0
0	0.32	0
0	0.3363265	0
0	0.33	0
0	0.3632614	0.38
0.2717753	0.402977	0.38
0	0.3307936	0
0	0.2908694	0
0	0.3844444	0
0.35	0.3466567	0
0	0.3661345	0
0.3055263	0.3345322	0
0	0.3332	0
0	0.33	0
0.352028	0.36	0
0.3371667	0.34	0
0.3048146	0.355108	0.3255041
0.3297872	0.3508772	0
0.2213776	0.3538781	0.03696992
0	0.3676847	0
0	0.3131356	0
0	0.3482395	0
0	0.3553993	0
0	0.35	0
0	0.2616062	0
0	0.3783596	0
0	0.3406173	0
0.3681188	0.3584232	0
0.329427	0.3483765	0.3293231
0.355	0.3792958	0
0.3040278	0	0
0.2367204	0.1034027	0
0.3323741	0	0
0.3247602	0.3212081	0
0.3573723	0.35	0
0.3296246	0.3537666	0.3332137
0.3307315	0.3401526	0
0	0.3115281	0
0.3666667	0.3673541	0
0.3307315	0.3447505	0.3363981
0.3576853	0.3607686	0.3327293
0	0.3266667	0
0.3230189	0	0
0	0.3606137	0
0.31	0	0
0.3157281	0.3518385	0
0.3007319	0.3388974	0
0.3101272	0.3530846	0
0.3000262	0.3428848	0
0	0.3323118	0
0	0.345914	0
0	0.3341895	0
0	0.3826984	0
0	0.3525174	0
0.2625	0.3242975	0
0	0.34	0
0	0.3586127	0
0	0.3231099	0
0.3387176	0.3554002	0
0	0.3542804	0
0	0.3346943	0
0	0.3192881	0
0	0.3417436	0
0	0.3680666	0
0	0.3342149	0
0	0.3639729	0
0	0.3622727	0
0.3340417	0.3508087	0
0	0.3743678	0
0	0.3419617	0
0	0.3579843	0
0	0.374523	0
0	0.3211016	0
0	0.3045567	0
0	0.3628972	0
0	0.3321781	0
0	0.3774922	0.34
0	0.2889163	0.34
0	0.3786466	0.3460059
0	0.3575428	0
0	0.3327754	0
0	0.3076607	0
0.3009272	0	0
0	0.36	0
0	0.3507599	0
0	0.3783637	0
0.3088542	0.3529833	0
0	0.3570834	0
0	0.3212864	0
0.37	0.3657439	0.33
0.36	0.3791983	0.3734286
0.35748	0.3707585	0.3618634
0.3615707	0.3752261	0.3588494
0.34	0.36	0.34
0.3188235	0.3544937	0.3340541
0.2773008	0.348266	0.111742
0.3341177	0.3500552	0
0	0.344042	0
0.3077308	0.370156	0
0.3166676	0.2985998	0
0.3412734	0.3573836	0
0	0.36	0
0.3279191	0	0
0.3128302	0.228	0
0.3320372	0.1808047	0
0.3186846	0	0
0.3147863	0.3103518	0
0.3214894	0.1570224	0
0	0.3412903	0
0	0.3681553	0
0.3682268	0.3631389	0.34
0	0.3628418	0
0	0.3522368	0
0	0.342676	0
0	0.3481821	0.34
0	0.3689427	0
0	0.3632159	0
0.3656308	0.4000825	0.33
0	0.3445312	0
0	0.3500885	0
0	0.3264229	0
0	0.3366813	0
0	0.3533621	0
0.3566667	0.3576654	0
0.2557442	0.3277067	0.3340541
0.3573731	0.3573105	0.3340541
0.35	0.361162	0
0.3237459	0	0
0.2958103	0	0
0.337056	0	0
0	0.3496712	0
0.3301321	0.3294635	0
0.329353	0.3528271	0
0	0.3505376	0
0.311579	0.34	0
0	0.375625	0
0	0.3102941	0
0	0.2860151	0
0.3061667	0.2921689	0
0	0.3468182	0
0	0.3681333	0
0	0.3348013	0
0	0.2974128	0
0	0.3698214	0
0	0.3603239	0
0	0.3581188	0
0	0.3442588	0
0	0.3627138	0
0	0.3791453	0
0.2318675	0	0
0	0.3548649	0
0.359	0.3587606	0
0	0.3606324	0
0.36	0.3428261	0
0.3335617	0.3273393	0
0	0.3468145	0
0.3256676	0.3473246	0
0.3376394	0.3496795	0
0	0.3472727	0
0	0.36	0
0	0.357795	0
0	0.3596629	0
0	0.3492153	0
0	0.3440102	0
0	0.3502583	0
0	0.34942	0
0	0.3755172	0
0	0.3592041	0
0.3334715	0	0
0.3368166	0	0
0	0.36	0
0	0.276549	0
0	0.3566279	0
0	0.3318396	0
0	0.3313376	0
0	0.3372	0
0	0.3237143	0
0	0.35	0
0	0.3197297	0
0.3039516	0.3468552	0
0.3359036	0.3374286	0.33
0.3461619	0	0
0.336531	0	0
0.09573387	0	0
0.32618	0	0
0.3529008	0.3581132	0.3534286
0.3026296	0.2869886	0
0.3349485	0.3209804	0
0.332037	0.3487742	0
0.3115	0	0
0.3429226	0.3527742	0.33
0.3420589	0	0
0.2882724	0	0
0.3012088	0	0
0.3676567	0	0
0.381171	0	0
0.3026016	0.3	0.32
0.3390116	0.3449844	0.3059259
0.3591177	0.3563462	0
0.3397619	0.3724118	0
0	0.3651032	0
0.3389247	0.3324229	0
0.3506827	0.3548437	0
0.3380597	0.35	0
0.3548085	0.36	0
0.3579661	0.3391351	0
0.3339103	0.3361314	0
0.3375664	0.335731	0
0.324	0.3385778	0
0.3296484	0.3399401	0.35
0.3785011	0	0
0	0.3441118	0
0	0.3357841	0
0	0.3264275	0
0	0.3643636	0
0.2992683	0.2969231	0
0.3538095	0.3386441	0.34
0.3521667	0.338182	0.3365266
0.3350459	0.3323711	0.2975
0.3428261	0.3318447	0.3193043
0.3152339	0.3318447	0.3193043
0.2951776	0	0
0.3558536	0.3543564	0.323
0.3501629	0.3295833	0.33
0.3361887	0.3321719	0
0.3616118	0.3292742	0
0.3540688	0.3332787	0
0.3291841	0.2003007	0.09428571
0.3220769	0.3383019	0
0.3437978	0.3406309	0
0.3269231	0	0
0.3242821	0.2726051	0.055
0.3262319	0.3122535	0
0.3428682	0.3402299	0
0.3614	0.3552601	0
0.3170134	0	0
0.3331461	0.2787255	0.05543107
0.3492253	0.3481373	0.3824138
0.3503372	0.3303036	0
0.3520466	0.3539947	0.3736745
0.3618996	0.3482335	0
0.347894	0.3480821	0.3778231
0.3706025	0.3513068	0
0.3471515	0.347682	0.3814569
0.3439932	0	0
0.310824	0	0
0.3272348	0	0
0.3287131	0.3323711	0.2975
0.295322	0	0
0.3778	0	0
0.3317726	0	0
0.3404014	0.3395737	0.3568293
0.315	0.3428655	0
0.3151232	0.3428635	0.3549396
0.338898	0.3318058	0.3565918
0.4008194	0.3361473	0.3608235
0.4385371	0	0
0.3472222	0	0
0.3405056	0.3504667	0
0.3168508	0.336	0
0.3195333	0.3339007	0.335
0.3194737	0.3167528	0
0.2910672	0.303932	0
0.2869209	0.284	0
0	0.3654902	0
0.35	0.3684315	0
0.3566016	0.34	0
0.3453147	0.320274	0
0.3172891	0.3169775	0
0.3200676	0.3166087	0
0.3241417	0	0
0.3608427	0.3390099	0
0	0.3672581	0
0.3536141	0	0
0.3335274	0	0
0.3490611	0.3402682	0.3383696
