Sw_1	Sw_2	Sw_3
0.2125	1	1
0.3391368	1	1
0.1790541	0.3253658	0
0.1760479	0.3483444	0
0.1996825	1	0
0.1618125	0	0
0.1507576	0.25	0
0.1000533	0.7609296	0
1	0.6001275	0
0.1962694	0.49	0
0.20912	0	0
0.1953636	0	0
0.204586	0	0
0.1510742	0	0
0.1768882	0	0
0.2176772	0	0
0.1462602	0.8394767	0
0.1961304	0	0
0.2381667	0.2862162	0
0.1881722	0	0
0.3176786	0	0
0.1715476	1	0
0.3264384	0	0
0.226599	0	0
0	0.2892568	0
0.2432394	1	0
0.1792138	1	0
0.2983592	0	0
0.1357522	0.388	0
0.1562055	0	0
0.1491292	1	0
0.1957439	1	0
0.1789733	0.9643531	0
0.1961268	0.2437037	0
0.27625	0.24	0
0.197668	0	0
1	0.7603029	0
0.2064583	0	0
0.2550962	0	0
0.2393289	0	0
0.24	1	0
0.2910601	0	0
0.1952941	0.42	0
0	0.29	0
0	0.3027921	0
0	0.32	0
0	0.36	0
0	0.260731	0
0	0.3258199	0
0	0.265	0
0.5500458	0.3059837	0
0	0.1402685	0
0.5588902	0.1686852	0
0.5744924	0.3262259	0
0	0.3616289	0
0	1	0
0	0.266294	0
0.2492308	0.31	0
0.1916974	0.32	0
0.1907979	1	0
1	0.4487199	0
0.1929508	0.23	0
0.1655768	0.2647843	0
0.183211	0.3221212	0
0.1690158	1	0
0.2110204	0.27	0
0.197732	0.25	0
0.2108633	0.21	0
0.1922609	0.244	0
0.1861538	0.2	0
0.2542105	0.27	0
0.2140278	0.22	0
0	0.2882895	0
1	0.2585269	0
0.2050883	0.2483218	0
0	0.3369907	0
0.25	0.2566245	0
0.237931	0.28	0
0.3252632	0.2524096	0
0.1825987	0.25	0
0.1990663	0	0
0.2230667	0.2269459	0
0.4046154	1	0
0.1944068	0.26	0
0.2053478	1	0
1	0.6636317	0
0.2055924	0.18	0
1	0.437786	0
0.1890476	0.2469767	0
0.2561765	0.2031797	0
0.3321816	0.3256224	0
0.24	0.2422925	0
0	0.2751988	0
0	0.2093259	0
0	1	0
0	0.3403604	0
0	0.2555891	0
0	0.2544898	0
0	0.2559489	0
0	0.2683957	0.46
0.2793269	0.1776287	0.46
0	0.292127	0
0	0.3400553	0
0	0.3925	0
0.26	0.2928261	0
0	0.2006349	0
0.5278947	0.2182915	0
0	0.29	0
0	0.23	0
0.2078322	0.21	0
0.2111667	0.2522222	0
0.1536891	0.241501	0.9805914
0.2455319	0.2008772	0
0.2818198	0.3961418	0.9579386
0	0.2167488	0
0	0.2231356	0
0	0.2279673	0
0	0.2711027	0
0	0.32	0
0	0.2678238	0
0	0.23	0
0	0.3225434	0
0.1849505	0.2576348	0
0.2319737	0.275537	0.8400246
0.2120909	0.2528177	0
0.21	0	0
0.2494669	0.8215947	0.9712386
0.26	0	0
0.3355501	0.7145424	0
0.2031387	0.2711765	0
0.3030442	1	0.8393849
0.3185417	0.212368	0
0	0.355	0
0.2366667	0.2526804	0
0.3185417	0.203647	0.9659073
0.2379811	1	0.9249566
0	0.2369231	0
0.2572641	0	0
0	0.220361	0
0.27	0	0
0.265791	0.2963289	0
0.3405041	0.2240016	0
0.2756608	0.2579698	0
0.3837385	0.5766367	0
0	0.2677622	0
0	0.2455172	0
0	1	0
0	0.1665079	0
0	0.1990381	0
0.611	0.35	0
0	0.24	0
0	0.3290752	0
0	0.2765986	0
1	1	0
0.4688504	0.3087504	0.999711
0	0.2869597	0
0	0.3760088	0
0	0.2021293	0
0	0.1654747	0
0	0.259435	0
0	0.2007087	0
0	0.17	0
1	1	0
0	0.2784674	0
0	0.2969621	0
0	0.2738451	0
0	0.2367919	0
0	0.2518705	0
0	0.4480648	0
0	0.3093047	0
0	0.348	0
0	0.2233106	1
0	0.2319446	1
0	0.155159	0.9166176
0	0.3753912	0
0	0.3216583	0
0	0.3806313	0
0.4610638	0	0
0	0.27	0
0	0.2598266	0
0	0.2143262	0
0.3405103	0.2144874	0
0	1	0
0	0.1925497	0
0.25	0.3076816	1
0.25	0.3089029	1
1	1	0.9434174
1	1	0.9460242
0.31	0.3438889	0.48
0.3376471	0.3381673	1
0.290467	0.2295882	0.9676643
0.3282353	0.2791468	0
0	0.2546719	0
1	1	0
0.6220227	0.3085907	0
0.5394787	1	0
0	0.2818293	0
0.1237572	0	0
0.1642581	1	0
0.215658	0.9638723	0
0.2221739	0	0
0.1594752	0.382381	0
0.1129218	0.8715855	0
0	0.2937097	0
0	0.2991262	0
0.2366418	0.294309	1
0	1	0
0	0.2931544	0
0	0.2433803	0
0	0.2611508	1
0	0.28	0
0	0.2547137	0
0.242481	0.1808973	1
0	0.1865625	0
0	0.2810619	0
0	0.3214348	0
0	0.2726175	0
0	0.2884483	0
0.3066667	0.3260311	0
0.19	0.1810232	1
1	0.3224801	1
0.2	0.2937388	0
0.2165147	0	0
0.2899077	0	0
0.2153192	0	0
0	0.3130959	0
0.4472334	0.1914181	0
0.3993855	1	0
0	0.2789785	0
0.5421053	0.17	0
0	0.2025	0
0	0.2806471	0
0	0.3990397	0
1	0.3501442	0
0	0.3494318	0
0	0.2607447	0
0	0.1930993	0
0	0.3533424	0
0	0.2473529	0
0	0.2966475	0
0	0.3211881	0
0	0.3646889	0
0	1	0
0	0.2134188	0
0.3489474	0	0
0	0.2351351	0
0.18	0.1774366	0
0	1	0
0.53	0.2858696	0
0.350567	0.2322945	0
0	0.2985887	0
0.4276036	1	0
0.3383928	1	0
0	0.3104545	0
0	0.29	0
0	1	0
0	0.1984831	0
0	1	0
0.3883427	0.3953106	0.992321
0	0.3406642	0
0	0.3278366	0
0	0.31	0
0	0.2487499	0
0.2565217	0	0
0.18	0	0
0	0.33	0
0	0.42	0
0	0.2726357	0
0	0.2482224	0
0	0.3859236	0
0	0.2492	0
0	0.3605714	0
0	0.3133333	0
0	0.3135135	0
0.3631939	0.3215891	0
0.3956757	1	1
0.3171792	0	0
0.321432	0	0
0.4615	0	0
0.2390728	0	0
0.3681818	1	1
0.4187778	1	0
0.3569072	0.4728947	0
0.2943077	1	0
0.2787374	0	0
0.3526364	1	1
0.2413398	0	0
0.3219905	0	0
0.4572681	0	0
0.2471974	0	0
0.2610114	0	0
0.2391057	1	1
0.3217213	1	1
0.3091176	0.2309859	0
0.351875	1	0
0	0.3782353	0
0.1786738	1	0
0.1682731	0.1960938	0
0.22	0.13	0
0.1659149	0.17	0
0.1713559	0.1828108	0
0.1638462	0.1483942	0
0.2283186	0.1596923	0
0.2829762	1	0
0.3071287	1	1
0.2445312	0	0
0	0.2849828	0
0	0.2977169	0
0	0.2344425	0
0	0.33	0
0.3265041	1	0
0.2	1	1
0.2296388	1	1
0.55	1	1
0.3838571	1	1
0.247269	1	1
0.34	0	0
0.2365854	0.25	1
0.1432423	0.2	1
0.1781323	1	0
0.1189933	0.1764103	0
0.1639701	0.2414706	0
0.3411126	1	1
0.3925532	1	0
0.2134973	1	0
0.1922051	0	0
0.4470524	0.5556486	0.9516699
0.4988985	1	0
0.1451587	0.2215873	0
0.1859333	0.1569697	0
0.3413333	0	0
0.2262047	0.6560903	0.9311598
0.2325352	1	1
0.2464082	1	0
0.2093498	1	1
0.1685769	1	0
1	0.8098158	1
0.2052174	1	0
1	0.9449314	1
0.3668814	0	0
0.3699575	1	1
0.366	0	0
0.2331017	1	1
0.4411628	0	0
0.2813333	0	0
0.3342395	0	0
0.2347492	1	1
0.2529032	1	0
1	1	1
0.2310358	0.9420164	1
0.1191322	0.7640607	1
0.3187031	0	0
0.416413	0	0
0.1736517	0.31	0
0.1797763	1	0
0.2442667	1	1
0.1849801	0.3978947	0
0.1626122	0.1910526	0
0.1912294	1	0
0	0.2054902	0
0.3093508	0.290379	0
0.2976562	1	0
0.1578322	0.1827119	0
0.1950602	0.1953521	0
0.2037838	0.19	0
0.150756	0	0
0.3162921	1	0
0	0.3030645	0
0.2618072	0	0
0.1899895	0	0
0.2515435	1	1
0.229377	1	1
0.2352273	0	0
0.2650467	1	1
0.2181538	0	0
0.3061389	1	0
0.3077474	1	0
0.1712228	1	0
0.1254648	0	0
0.2760808	0	0
0.3434583	0	0
0	0.2151077	0
0.23	0	0
0.4569523	0	0
0.2159687	0	0
0.33	0	0
0.3461017	0	0
1	0	0
0.2673937	0	0
0.3684391	0.9999996	1
0.3746867	0	0
0.312954	0.9999986	1
0.2802064	0	0
0.467963	0	0
0.2383374	0	0
0.2679167	0	0
0.2001389	0	0
0.3035294	0	0
0.3047487	0	0
0.2357979	0	0
0.3028571	0	0
0.3625301	0	0
0.1753165	0.2507907	0
0.3691761	0	0
0.3494577	0	0
0.1773239	0.1909195	0
0.1987103	0.1998952	0.9045473
0.2338095	0.2274419	0
0.4524551	0	0
0.1966559	1	0
0.3576608	0	0
0.3750206	0	0
0.3201299	0	0
1	0	0
0.373	0	0
0.3321429	0	0
0.3153701	1	1
0.1764653	1	0
0.2006796	0.21	0
0.2213372	0	0
0.3069017	0	0
0.1780427	0.2	0
0.180036	0.224298	0
0.1353261	0	0
0.187713	0.26	0
0.1509172	0	0
0.2212903	0.21	0
0.1789041	0.1501389	0
0.2024242	0.2584	0
0.2902564	0.2614737	0
0.355	0.2648913	0
0.1779231	0.3	0
0.1563202	0	0
0.2208889	0.2153125	0
1	0.277243	0
0.2713922	0.34	0
0.3498557	1	1
0.435	1	0
0.2275301	0.2	0
0.2443066	0.2046008	0.9040622
0.1735276	0.204	0
0.2047753	0.2710059	0
0.204381	0.2878846	0
0.194902	1	0
0.2489362	0	0
0.402084	1	0
0.1438663	0.3395652	0
0.2072318	0.2920952	0
0.24	0.2612195	0
0.2640652	0	0
0.3536719	0	0
0.14	0.2579775	1
0.19	0.3872131	0
0.2642857	0.2246226	1
0.3418261	0.2397771	0
0.3728846	0	0
0.1945103	1	0
0.1343149	0.48	0
0.2260627	1	0
0.1502083	0	0
0.1769388	0.21	0
0.1142105	0.2294681	0
0.3704598	0	0
0.168	0.2388462	0
0.1865772	0.1633813	0
0.1878947	0.2278539	0
0.3	0	0
0.5495161	0	0
0.2893333	0.2	0
