Well_name	X_coord	Y_coord
1	551613.08	5003664.13
1-3H	551532.058	5003688.343
10	550434.85	5002608.94
10-1	550571	5002566
100-2	555741	5004845
1000	555897.21	5004561.49
1000-1	555978	5004605
1000-2H	556177	5004564
1000-2S	555897	5004561
1000-3	556046.3	5004474
1001	556107.25	5004646.49
1001-1H	556210	5004761
1002	556340.21	5004735.99
1002-2	556385.16	5004622.44
1002-3	556466.86	5004678
1003	556587.21	5004837.99
1003-1H	556697	5004999
1003-2	556610	5004750
1003-3	556725.57	5004763.41
1003-4H	556485	5004902
1004	556812	5004935
1004-3	557045.33	5004910.49
1005	557064.21	5005038.49
1005-3	557222	5004970
1006-1	557483	5005000
1006-3	557702.35	5005152
1007	556425.21	5004507.5
1007-1	556528.9463	5004591.927
1007-2	556445	5004425
1007-3	556567	5004474
1007-4	556289	5004475
1008	556901.83	5004724.38
1008-1H	556927	5004877
1008-3	557077.3	5004679.27
1009	557140.71	5004825.49
1009-1	557242	5004887
1009-1-4S	557243	5004888
1009-2	557191	5004722.7
1009-3	557313	5004775
100K	555718.1	5004983.02
1010	557375.21	5004918.99
1010-2	557441	5004835
1010-3	557531	5004855.01
10102	559120.25	5003359.99
10102-2H	559275	5003353
10103	559355	5003478
10104	559230	5003795
10104-1H	559304	5003935
10104-3	559335.2555	5003752.796
10105	559443.36	5003891.8
10105-1H	559588	5003936
10106	559495	5003689
10106-1H	559565	5003829
10106-2H	559728.3205	5003690.883
10107	559595.12	5003543.6
10107-1H	559739	5003594
10107-4H	559511	5003589
1011	557613.71	5005012.99
1012	556272.21	5004224.99
1012-1	556398.23	5004264.99
1012-3S	556196	5004208
1013	556519.21	5004314.49
1013-1	556584	5004356.53
1013-3	556670.69	5004269.56
1014	556744.71	5004411.96
1014-1	556870	5004462
1014-2	556794.73	5004312.94
1014-3	556870	5004356.56
1015	556991.71	5004514.05
1015-2	557034	5004412
1016	557234.71	5004603.99
1016-1	557349	5004692
1016-2	557283	5004510
1016-3	557391.16	5004538.2
1016-4H	557081	5004621
1017	557698.71	5004795.49
1017-2	557728	5004694
1018	557924	5004899.5
1018-2	557998.38	5004778.83
1021	556361.71	5004072
1021-2	556415	5003888
1021-3	556517.5073	5003959.487
10218	560632.25	5003651.2
1022	556604.21	5004113.35
1022-1	556739	5004181
1022-1-4S	556689	5004181
1022-3	556758	5004074
1022-4S	556528	5004145.5
1023	556838.71	5004208.5
1023-2	556862	5004074
1023-3	557004	5004220
1024	557068.21	5004305.45
1024-1	557191.23	5004339.09
1024-3	557198	5004225.61
1024-3-2S	557248	5004152.31
1025	557311.21	5004372.5
1025-1	557430.88	5004435
1025-2	557369.88	5004278.06
1025-3	557449	5004353
1026	557553.71	5004501.21
1026-1H	557636	5004624
1026-2	557629	5004373.68
1026-3	557715.053	5004417.006
10268	561126	5003165
1027	558030.71	5004688.86
1027-2	558031	5004576
1027-3	558184.62	5004652.37
1028	558265	5004765
1029	558499	5004900
1030	556216.4	5003678.45
1031	556415	5003782.5
1031-3H	556331	5003582
1032	556681	5003888
1032-3	556842.4872	5003820.087
1033	557003	5004072
1034	557162.21	5004072.49
1034-3H	557095	5003998
1035	557401	5004165
1036	557639	5004267
1037	557882	5004389
1038	558115	5004471.29
1039	558350	5004538.5
1041	555835.02	5003288.55
1041-3H	555816	5003218
1042	556037	5003343.91
10421	556984	5005241
10422-3	557370.883	5005307
10427	557849.45	5005127
10427-3	558024.298	5005060.261
1043	556295.64	5003475.21
1043-2H	556528	5003368
1043-4H	556117	5003512
10435-3	559081.8905	5004985.966
1044	556778.71	5003655.5
1044-3H	556677	5003427
1044-4H	556684	5003665
10443	558886	5004539
10444	559126	5004622
1045	557008.71	5003760.99
10450	558979.75	5004297.79
10450-1H	559040	5004443
10450-2H	559137	5004215
10450-3H	558970	5004251
10451-2H	559311	5004300
10457	559064	5004071
10458	559306.78	5004162.53
10459	559518.23	5004280.01
1046	557251.71	5003857.82
1046-1S	557256.5	5003934.6
10469	559702	5003824.71
1047	557409	5003910
1048	557711	5004092
1048-1H	557745	5004189
1048-4H	557485	5004131
10481	559226	5003147
10481-2H	559361	5003048
10482	559431.24	5003236.07
10482-1H	559538	5003348
10482-2H	559483	5003184
10483	559665.55	5003339.57
10483-2H	559751	5003214
10484	559872	5003392
1048K-2S	557667	5003988
1049	557958.71	5004152.2
10490	559293.4	5002916
10491-2H	559650	5002955
10491-3H	559480	5002868
10491H	559530	5003054
10494	560184	5003321
10498	559100	5002629.6
10499	559379.1693	5002726.161
1050	558205.71	5004245.75
1050-1H	558264	5004321
1050-4H	558086	5004277
10500	559613.4843	5002819.506
10500-2H	559646	5002755
10501	559838	5002922
10502	560051	5003005.56
1051	558448.21	5004331.49
1052	558678	5004428
1052-1H	558701.843	5004522.416
