Z_1	Z_2	Z_3
438.35	495.5	541.8
392.4	0	0
426.6	465.15	0
420.85	458.15	0
438	471.8	0
434.8	0	0
433.05	466.6	0
556.6	0	0
507.9	0	0
431.3	474.6	0
436.95	0	0
556	0	0
445.85	0	0
446.7	0	0
450.6	0	0
452	0	0
559.7	0	0
449.5	0	0
455	489	0
564.5	0	0
446	0	0
473.65	510.4	0
454.35	0	0
478.75	0	0
345.55	483.85	0
463.2	485.7	0
438.15	482	0
468.6	0	0
430.85	480.45	0
465.85	0	0
435.1	476.75	0
444.75	477.5	0
560.3	0	0
442.15	481.55	0
440.75	476	0
466.95	0	0
565	0	0
462.2	0	0
474	0	0
459.4	0	0
452.7	484.5	0
469	0	0
449.1	481.45	0
0	456.3	0
0	579.75	0
0	460	0
0	467	0
0	604.25	0
0	491.2	0
0	468.95	0
0	585.8	0
0	462	0
0	570.415	0
0	589	0
0	466.55	0
0	591.7	0
0	0	0
448.7	478	0
427.5	463	0
423.05	452.7	0
517.15	0	0
427.65	467.5	0
428.55	463.7	0
443.4	481.55	0
434.35	473	0
433.3	470.8	0
430.85	466.95	0
428.9	461.2	0
433.45	471.5	0
427.8	457.95	0
428.45	466	0
438.05	470.65	0
0	460.1	0
427.55	457.85	0
0	0	0
0	470	0
436.9	469.6	0
448	481	0
460.45	487.75	0
426.75	468	0
446.25	0	0
0	0	0
467.55	511.5	0
428.75	470.5	0
428.45	462.25	0
520.25	0	0
429.25	465.25	0
0	0	0
424	468.45	0
423.65	459.75	0
423.1	462.5	0
418.9	455.4	0
0	449.9	0
0	446.45	0
0	508.05	0
0	444.5	0
0	447.15	0
0	433.45	0
0	445.95	0
0	452.55	484.2
0	659.45	0
0	447.65	0
0	460.35	0
0	476.9	0
440.9	473	0
0	466.4	0
440.35	469.9	0
0	479.5	0
0	476.5	0
424.5	463.5	0
421.3	465.5	0
559.2	0	0
419.85	457	0
423.7123	478.2767	627.2999
0	448.5	0
0	440.8	0
0	530.45	0
0	430.3	0
0	444.5	0
0	445	0
0	464.05	0
0	465.6	0
414.5	446	0
0	0	0
420	452.5	0
475.5	0	0
454.0792	486.2914	627.3
474.8	0	0
0	0	0
422.8	461.5	0
0	542.3	0
452.65	567.7	0
0	537.25	0
416	453	0
448.85	558.9	0
0	541.5	0
0	479.75	0
471.65	0	0
0	446.5	0
470.05	0	0
0	625.7	0
0	613.75	0
0	0	0
0	0	0
0	471.45	0
0	472.6	0
0	473	0
0	434.5	0
0	0	0
441.45	474.2	0
0	430.1	0
0	436.55	0
0	554	0
444.5	548.2	0
478.3343	516.8638	627.3
0	568.25	0
0	472.15	0
0	607.3	0
0	557.7	0
0	470	0
0	570.4	0
0	469.3	0
436.95	541.15	0
0	448.5	0
0	0	0
0	573.7	0
0	575.25	0
0	630.15	0
0	503.4	0
0	453.65	0
0	466.25	0
0	455.1	486.5
0	560	0
0	571.8	0
0	459.6	0
0	595.25	0
0	480.4	0
496.4	0	0
0	466	0
0	473.5	0
0	565.8	0
0	571.1	0
0	602.05	0
0	572.1	0
415	443	478.55
416.95	445.5	482
451.7	558.1	0
447.65	558.6	0
418.6	448	483.85
413.95	444.5	480.65
422.9848	465.9106	627.2999
418.35	450	0
0	438	0
442.25	541.65	0
0	546	0
0	537.9	0
0	433.5	0
438.4	0	0
445.55	483.15	0
539.85	0	0
432.2	0	0
438.4	478.2	0
546.15	0	0
0	437.85	0
