Z3_1	Z3_2	Z3_3
429.9197	489.6843	626.9202
401.4471	490.1674	626.8045
429.0439	493.4695	627.4186
421.6393	470.1524	626.8591
448.3891	488.484	627.3038
479.4854	486.7908	627.3035
433.5891	480.2283	627.3029
480.0292	532.3983	627.3019
479.4752	487.541	627.3035
435.2524	476.1492	627.3027
457.1115	481.8802	627.3021
485.9225	527.5358	627.3016
450.3981	487.9151	627.3011
446.7089	486.4153	627.3011
455.0073	490.834	627.3008
462.2823	495.6771	627.3006
494.2465	548.5297	627.3005
450.2701	496.5702	627.3006
456.5049	492.5897	627.3004
493.1493	562.5496	627.3008
471.8316	494.1381	627.3004
477.2199	492.9676	627.3002
457.55	490.5965	627.3002
483.963	487.8023	627.3001
351.9061	483.8902	627.3
462.1951	485.274	627.3
440.0059	483.3729	627.3011
464.9539	488.8889	627.3008
431.4718	477.7789	627.301
459.7112	478.17	627.3007
442.8313	477.8815	627.3016
454.2317	482.0738	627.3003
492.0286	536.5046	627.3003
442.4734	478.3812	627.3001
446.3975	488.7144	627.3001
472.7658	486.6786	627.3001
473.8087	486.6875	627.3001
455.9269	478.0273	627.3001
467.53	482.9228	627.3
460.9776	493.1009	627.3036
450.0768	485.5168	627.3
460.9036	491.6828	627.3
447.9077	481.6371	627.3
464.8811	473.2342	627.3001
476.2416	563.3121	627.3001
473.0464	475.7302	627.3001
470.2509	476.9458	627.3001
469.9226	580.1012	627.3001
471.9464	490.2468	627.3001
471.3639	473.2097	627.3001
471.2799	575.3104	627.3001
464.1876	474.2608	627.3001
472.6674	558.8932	627.3001
475.3736	578.1335	627.3001
477.3636	484.7341	627.3001
477.3027	586.5004	627.3001
466.7969	475.8976	627.3001
436.7112	479.4063	627.3
429.2956	465.0879	627.3019
424.9316	456.0522	627.3013
475.4922	503.3675	627.3024
428.8313	468.0093	627.3009
429.7309	464.9672	627.3007
439.34	476.4447	627.3005
434.8865	473.1318	627.3004
434.8979	471.3916	627.3002
430.7902	466.9998	627.3003
428.8756	462.0691	627.3002
433.3914	470.7775	627.3001
426.6692	458.6699	627.3001
428.8656	466.0469	627.3
443.5979	478.3437	627.3
424.3901	459.6919	627.3
429.9719	462.3019	627.2999
435.915	473.2242	627.3001
441.4673	470.8939	627.2999
438.5439	487.0739	627.2999
451.7178	481.1139	627.2999
454.4004	484.8385	627.2999
427.8856	467.119	627.3017
437.0516	462.1172	627.3017
428.7602	461.3642	627.3012
476.8091	510.8934	627.3
433.2469	468.2321	627.3008
434.3474	465.1377	627.3004
469.8626	492.1493	627.3005
438.5143	465.3041	627.3004
433.6099	464.6413	627.301
424.3036	468.0103	627.3002
424.1308	460.8955	627.3002
422.7239	460.807	627.3
420.9167	455.297	627.3
423.11	450.2356	627.3
422.8366	451.6492	627.2999
423.9171	495.9726	627.2999
426.6487	445.5576	627.2999
436.5145	448.8611	627.2999
428.7229	435.8258	627.2999
434.4667	445.7401	627.2999
451.4148	459.3636	627.2999
447.5989	625.2059	627.2999
440.6633	448.8477	627.2999
441.9423	460.2022	627.2999
477.9932	488.8259	627.3
452.2698	474.512	627.2999
449.2182	465.8795	627.2999
454.8688	469.9977	627.2999
459.5719	478.514	627.2999
465.5401	477.7959	627.3
439.1002	470.0044	627.3031
424.4939	465.5634	627.3018
464.9549	526.8127	627.3026
421.2679	461.4461	627.3007
423.3063	475.7599	627.3003
421.7555	457.2353	627.3
422.106	458.5722	627.2999
421.4733	520.7448	627.2999
428.5064	456.9473	627.2999
437.1621	448.3513	627.2999
443.0319	445.838	627.2999
449.5817	470.3078	627.2999
456.2588	469.229	627.3
416.4698	449.8116	627.305
418.7904	457.7104	627.3049
422.4313	460.8739	627.3044
468.6305	489.1502	627.3002
451.0961	486.2379	627.3
472.0397	480.5299	627.3
468.0394	476.4787	627.2999
438.5195	471.718	627.3029
426.1248	532.8713	627.3018
448.281	550.8412	627.3039
469.4392	536.1751	627.3
420.9035	463.465	627.3005
441.2573	540.1169	627.3011
427.8704	535.5631	627.3008
465.0298	485.8081	627.3
468.3099	502.859	627.3
421.341	461.3707	627.3
465.2118	524.3285	627.3
466.4844	508.389	627.3
467.143	592.9561	627.3
464.9713	523.1414	627.3
468.6598	488.603	627.3001
466.3998	486.4192	627.3
468.7592	478.2095	627.3001
469.0379	474.693	627.3001
423.8681	436.1839	627.2998
423.8557	453.8406	627.2998
472.8846	489.5424	627.3001
427.2491	434.9628	627.2998
435.8614	452.0702	627.2998
437.8001	531.9553	627.2999
430.6364	533.9597	627.2998
478.2788	514.9721	627.3001
