Ql	Qo	Qz	c
3875.86	3800.103	-3875.861	0.01954592
6083.331	5606.587	-6083.333	0.07836876
6083.33	4449.576	-6083.333	0.2685625
6083.333	4113.427	-6083.333	0.3238202
6083.331	2830.748	-6083.333	0.5346714
6083.333	2364.181	-6083.333	0.6113674
6083.335	1880.684	-6083.333	0.6908466
6083.335	1556.159	-6083.333	0.7441931
6083.333	1513.465	-6083.333	0.7512112
6083.336	1277.262	-6083.333	0.7900392
6083.338	1124.611	-6083.333	0.8151326
6083.337	1068.045	-6083.333	0.824431
6083.336	947.0713	-6083.333	0.8443171
6083.333	916.3998	-6083.333	0.8493589
6083.348	765.1311	-6083.333	0.8742253
6083.334	916.3114	-6083.333	0.8493735
6083.34	1689.288	-6083.333	0.7223091
6083.333	713.2066	-6083.333	0.8827606
6083.336	656.3238	-6083.333	0.8921112
6083.337	615.5176	-6083.333	0.8988191
6083.33	661.7168	-6083.333	0.8912246
6083.333	575.5726	-6083.333	0.9053853
6083.333	523.6346	-6083.333	0.9139231
6083.321	491.58	-6083.333	0.9191922
6083.318	484.5205	-6083.333	0.9203526
6083.318	486.9406	-6083.333	0.9199548
6083.333	440.2985	-6083.333	0.9276221
6083.336	438.6591	-6083.333	0.9278917
6083.341	466.4825	-6083.333	0.923318
6083.341	436.1349	-6083.333	0.9283067
6083.341	394.4916	-6083.333	0.9351522
6083.34	378.5873	-6083.333	0.9377666
6083.339	364.4097	-6083.333	0.9400971
6083.337	342.1987	-6083.333	0.9437482
6083.336	319.9243	-6083.333	0.9474097
6083.335	330.4883	-6083.333	0.9456732
6083.334	352.3372	-6083.333	0.9420816
6083.334	351.3538	-6083.333	0.9422432
6083.333	305.1641	-6083.333	0.9498361
6083.333	305.1641	-6083.333	0.9498361
6083.35	295.3509	-6083.333	0.9514493
6083.363	288.0039	-6083.333	0.9526571
6083.362	288.7573	-6083.333	0.9525333
6083.348	317.8911	-6083.333	0.9477441
6083.348	317.8911	-6083.333	0.9477441
6083.344	306.3102	-6083.333	0.9496477
6083.331	255.3918	-6083.333	0.9580178
6083.332	252.494	-6083.333	0.9584941
6083.333	249.3266	-6083.333	0.9590148
6083.331	235.0439	-6083.333	0.9613627
6083.331	232.245	-6083.333	0.9618227
6083.33	224.006	-6083.333	0.9631771
6083.329	234.9197	-6083.333	0.961383
6083.314	429.1691	-6083.333	0.9294514
6083.314	429.1691	-6083.333	0.9294514
6083.33	307.7821	-6083.333	0.9494057
6083.343	200.5636	-6083.333	0.9670307
6083.343	200.5636	-6083.333	0.9670307
6083.341	198.4392	-6083.333	0.9673799
6083.333	189.3918	-6083.333	0.9688671
6083.333	189.3918	-6083.333	0.9688671
6083.333	189.3918	-6083.333	0.9688671
6083.333	500.9827	-6083.333	0.9176466
6083.333	797.6458	-6083.333	0.8688802
6083.333	797.6458	-6083.333	0.8688802
6083.333	797.6458	-6083.333	0.8688802
6083.333	584.6917	-6083.333	0.9038863
6083.334	269.8782	-6083.333	0.9556364
6083.329	204.6893	-6083.333	0.9663524
6083.329	194.5448	-6083.333	0.96802
6083.335	188.2209	-6083.333	0.9690596
6083.331	180.9199	-6083.333	0.9702597
6083.33	190.2853	-6083.333	0.9687202
6083.333	172.3373	-6083.333	0.9716706
6083.325	166.577	-6083.333	0.9726174
6083.331	275.6789	-6083.333	0.9546829
6083.329	365.0392	-6083.333	0.9399935
6083.328	157.5798	-6083.333	0.9740964
6083.332	154.5399	-6083.333	0.9745962
6083.325	151.2657	-6083.333	0.9751344
6083.339	147.7677	-6083.333	0.9757094
6083.343	145.7771	-6083.333	0.9760367
6083.348	143.4237	-6083.333	0.9764236
6083.326	834.1476	-6083.333	0.8628797
6083.317	1133.774	-6083.333	0.8136256
6083.335	424.2826	-6083.333	0.9302549
6083.333	134.9787	-6083.333	0.9778117
6083.338	133.8744	-6083.333	0.9779932
6083.341	132.447	-6083.333	0.9782279
6083.316	130.7582	-6083.333	0.9785054
6083.327	128.6019	-6083.333	0.97886
6083.336	126.867	-6083.333	0.9791452
6083.33	124.7497	-6083.333	0.9794932
6083.328	124.0188	-6083.333	0.9796133
6083.333	120.0765	-6083.333	0.9802614
6083.336	117.9381	-6083.333	0.9806129
6083.333	117.4409	-6083.333	0.9806947
6083.323	115.7229	-6083.333	0.980977
6083.323	115.7229	-6083.333	0.980977
6083.33	114.1037	-6083.333	0.9812432
6083.343	111.147	-6083.333	0.9817293
6083.343	111.147	-6083.333	0.9817293
6083.343	111.146	-6083.333	0.9817294
6083.34	108.9458	-6083.333	0.9820911
6083.34	108.9458	-6083.333	0.9820911
6083.34	108.9458	-6083.333	0.9820911
6083.339	108.6513	-6083.333	0.9821395
6083.322	104.1649	-6083.333	0.982877
6083.322	104.1649	-6083.333	0.982877
6083.322	104.1649	-6083.333	0.982877
6083.322	104.1649	-6083.333	0.982877
6083.329	101.5358	-6083.333	0.9833091
6083.343	96.61246	-6083.333	0.9841185
6083.343	96.61246	-6083.333	0.9841185
6083.343	96.61246	-6083.333	0.9841185
6083.343	96.61246	-6083.333	0.9841185
6083.343	96.61246	-6083.333	0.9841185
6083.337	92.9157	-6083.333	0.9847262
6083.334	91.20732	-6083.333	0.985007
6083.334	91.20732	-6083.333	0.985007
6083.334	91.20732	-6083.333	0.985007
6083.334	91.20732	-6083.333	0.985007
6083.334	91.20732	-6083.333	0.985007
NaN	NaN	-6083.333	NaN
NaN	NaN	-6083.333	NaN
